"Text";"Created-At";"Id"
"RT ";"Jaktim : Mall Grand Cakung.";
"Info terkini pukul 19:07 WIb Ruas toll PD.Aren-Serpong lalin lancar, terpantau exit KM 10 arah Pamulang/Ciater ada antrian kendaraan imbas volume lalin di Arteri ";"2022-11-17";1.59321496614405325E18
;"2022-11-17";1.59320651802725581E18
"RT ";"2022-11-17";1.59320136704447693E18
;"2022-11-17";1.59320089173335654E18
"RT ";"2022-11-17";1.59320013100826624E18
"RT ";"2022-11-17";1.59319877600477184E18
;"2022-11-17";1.59319775213744538E18
;"2022-11-17";1.59319320345668403E18
"16.42 Situasi arus lalu lintas terkini di Simpang Lima Semper Jakarta Utara terpantau lancar. ";"2022-11-17";1.59318190203457946E18
;"2022-11-17";1.59317764224493158E18
;"2022-11-17";1.59317088323308749E18
"RT ";"2022-11-17";1.59316453906726502E18
;"2022-11-17";1.5931593230140416E18
"Wow! Foto digital 'berbekas' dari hp android versi² OS Jellybean entah tahun 2014/2016 ternyata masih dipakai juga ya admin... ??? ";"2022-11-17";1.5931444687521833E18
;"2022-11-17";1.59314050935857562E18
;"2022-11-17";1.59313616796873933E18
"ni tadi mimin liat ";"2022-11-17";1.59313502807432806E18
"RT ";"2022-11-17";1.59312694746664141E18
"RT ";"2022-11-17";1.59312389892908237E18
"12.59 Situasi arus lalu lintas terkini di Jl. S.Parman menuju Slipi / Tol Kebon Jeruk, dan sebaliknya menuju Grogol terpantau lancar. ";"2022-11-17";1.59312228594655642E18
;"2022-11-17";1.59312075814617088E18
;"2022-11-17";1.59312021163255808E18
"Jadilah pelopor keselamatan berlalu lintas & budayakan keselamatan sebagai kebutuhan. ";"2022-11-17";1.59311930005508506E18
;"2022-11-17";1.59311655903546982E18
"Hati-hati dengan kain yang Berjuntai dan dapat masuk ke jeruji roda. ";"2022-11-17";1.59311466602026189E18
;"2022-11-17";1.593114660169216E18
"RT ";"2022-11-17";1.59311241247107072E18
"Ga pantas twit lu, lu ngerendahin sendiri martabat Indonesia. Segitu bencinya lu sama ibu? Orang kayak lu pantes di ciduk. Tolong pak ";"2022-11-17";1.5931073648820224E18
;"2022-11-17";1.59310295034352845E18
;"2022-11-17";1.59309906148970086E18
;"2022-11-17";1.59309743617979597E18
;"2022-11-17";1.5930941639729193E18
;"2022-11-17";1.59308795279586509E18
;"2022-11-17";1.59308717967238758E18
;"2022-11-17";1.59308241137372365E18
"RT ";"2022-11-17";1.59307872516767744E18
"Bagi Pemotor hindari penggunaan Jas hujan Ponco, krn sering terjadi kecelakaan akibat Ponco tersangkut roda blkg. ";"2022-11-17";1.59307677208585011E18
"Guna Lampu Hazard utk berhenti pada kondisi darurat, bukan digunakan berkendara saat hujan. Krn membahayakan kendaraan yg ada di belakang. ";"2022-11-17";1.59307667955112755E18
"09.15 Situasi arus lalu lintas terkini di Tl Trakindo Jl. Ampera Raya terpantau ramai lancar. ";"2022-11-17";1.59307240778212147E18
;"2022-11-17";1.59307169399584768E18
;"2022-11-17";1.59307111533707264E18
;"2022-11-17";1.59307102776003789E18
;"2022-11-17";1.59307052211990938E18
;"2022-11-17";1.59306802998607872E18
"RT ";"2022-11-17";1.59306666921966387E18
;"2022-11-17";1.5930665670212649E18
"RT ";"2022-11-17";1.59306416403705446E18
;"2022-11-17";1.59306377294368358E18
"RT ";"2022-11-17";1.5930616442463191E18
;"2022-11-17";1.59306161112390451E18
;"2022-11-17";1.59306033604293018E18
;"2022-11-17";1.59305656410534298E18
"RT ";"2022-11-17";1.59305415917112115E18
;"2022-11-17";1.59304823311030682E18
"RT ";"2022-11-17";1.593047049431552E18
"07.58 Situasi lalu lintas di Traffic Light Basmar Mampang Jaksel arah Kuningan ramai lancar, arah sebaliknya arah Ragunan lancar, cuaca hujan ";"2022-11-17";1.59304671449096192E18
"di Cengkareng begini amat, polisi lalin ga ada ";"2022-11-17";1.59304459878780518E18
"RT ";"2022-11-17";1.59304398993843814E18
"07.28 Polri Sat Lantas Jakbar pengaturan & pengamanan Pohon tumbang di Kamal Jakbar arah Cengkareng, agar pengendara tetap berhati-hati. ";"2022-11-17";1.59304317226307994E18
"07.46 Polri Sat PJR Dit Lantas PMJ pengamanan & pengaturan kendaran Bus mengalami gangguan mesin di Tol Jorr Ps Rebo KM 30.80 arah Rabutan, agar pengendara tetap berhati-hati ";"2022-11-17";1.59304312381050061E18
"RT ";"2022-11-17";1.59304032084101939E18
"Baru aja lega lewatin banjir, ketemu macet panjang.. ini too grgrnya ?Kumplit. ";"2022-11-17";1.59304013998261453E18
;"2022-11-17";1.5930398783167529E18
"07.28 Polri Sat Lantas Jakbar pengaturan & pengamanan Pohon tumbang di Kamal Jakbar arah Cengkareng, agar pengendara tetap berhati-hati ";"2022-11-17";1.59303879707973222E18
"07.20 Situasi arus lalu lintas pagi hari di wilayah hukum Polresta Bandara Soekarno-Hatta, Cuaca masih hujan, agar masyarakat yg akan menuju Bandara Soekarno-Hatta berhati hati dalam berkendara & tetap patuhi rambu rambu lalu lintas yang ada untuk keselamatan diri dan orang lain. ";"2022-11-17";1.59303795323609907E18
"Realita nya cuma diliatin aja sama mang lisi ??? ";"2022-11-17";1.59303753138139136E18
;"2022-11-17";1.59303681454967194E18
;"2022-11-17";1.59303671793806131E18
;"2022-11-17";1.59303670287633613E18
;"2022-11-17";1.59303665473410662E18
"RT ";"2022-11-17";1.59303662099093504E18
;"2022-11-17";1.59303658733583565E18
;"2022-11-17";1.59303655141582029E18
"07.12 Polri Sat PJR Dit Lantas PMJ pengamanan & pengaturan kendaran Bus mengalami gangguan mesin di Tol Jorr Lenteng Agung KM 27 arah Ps Rebo, agar pengendara tetap berhati-hati ";"2022-11-17";1.59303436497126605E18
;"2022-11-17";1.59303374739357286E18
;"2022-11-17";1.59303354678837658E18
;"2022-11-17";1.5930332168392745E18
"RT ";"2022-11-17";1.5930330344709161E18
;"2022-11-17";1.59303274356207206E18
;"2022-11-17";1.59303253664062259E18
"Pagi yang basah, bapak2 ";"2022-11-17";1.59303245905856512E18
"Macet arah mau ke grogol ";"2022-11-17";1.59303194274813952E18
;"2022-11-17";1.59303113679163802E18
;"2022-11-17";1.59303105236028621E18
"06.59 Kecelakaan Tol Dalam Kota Jelambar KM 16 arah Pluit di lajur kanan, saat ini kendaraan sudah dipinggirkan di bahu jalan agar pengendara tetap berhati-hati ";"2022-11-17";1.59303099319962829E18
;"2022-11-17";1.59302988131064218E18
"06.53 Imbas Mesin Komputer untuk pengecekan dokumen kendaraan yg Masuk mengalami gangguan di JICT 1 Pelabuhan Tanjung Priuk Jaku, lalu lintas Plumpang arah Pelabuhan Tanjung Priok terpantau PADAT ";"2022-11-17";1.59302966769893376E18
"Halo ";"2022-11-17";1.59302951589446861E18
;"2022-11-17";1.5930290612361257E18
"Plumpang arah Pelabuhan Tjg Priok PADAT,dampak gangguan sistem bongkar muat d Pelabuhan. ";"2022-11-17";1.59302870269863117E18
;"2022-11-17";1.59302749763731456E18
"06.35wib. Antrian panjang GT in Bekasi barat. Ada  jalur yg tdk bisa dipakai. Segera diperbaiki Pak utk mengurai antrian. Terimakasih. ";"2022-11-17";1.59302671110467174E18
"RT ";"2022-11-17";1.5930251224532951E18
"Lokasi Pelayanan STNK Keliling/Samling KAMIS, 17 Nopember 2022 sbb: ";"2022-11-17";1.59302487133193421E18
"06.30 Terjadi kecelakaan di Tol Dalam Kota Layang Grogol arah Bandara, saat ini masih penanganan Polri agar pengendara tetap berhati-hati ";"2022-11-17";1.59302371839325389E18
;"2022-11-17";1.59302243708793651E18
"Lampu merah di perempatan Cempaka Mas mati, tolong ditindak lanjuti ";"2022-11-17";1.59301985393770496E18
;"2022-11-17";1.59301572040920678E18
;"2022-11-17";1.59301455934616371E18
;"2022-11-17";1.59301220908048794E18
;"2022-11-17";1.59301100471966106E18
"Cek kembali apakah pagar, pintu & jendela rumah sudah terkunci dengan baik sebelum beranjak istirahat malam hari ini. ";"2022-11-17";1.59292766737590272E18
;"2022-11-16";1.59291878548871987E18
"RT ";"2022-11-16";1.59290991463641907E18
"22.57 Polri Sat Lantas Jakut melakukan Patroli Cipkon di MOi Kelapa Gading Jakarta Utara guna cegah adanya gangguan Kamtibmas di Wilayah Hukum Jakarta Utara ";"2022-11-16";1.59290962566987776E18
;"2022-11-16";1.59290823480931123E18
"22.28 Polri Sat Lantas Jakut gabung jajaran Polres Jakut melakukan Apel Cipkon didepan Halaman Mapolres guna cegah adanya gangguan Kamtibmas di Wilayah Hukum Jakarta Utara ";"2022-11-16";1.59290214019618406E18
;"2022-11-16";1.59288896592504832E18
"21.08 Polri Sat Lantas Jaksel gabung Dishub melakukan apel Penertiban Parkir liar di Wilayah Hukum Jakarta Selatan ";"2022-11-16";1.59288203505579213E18
;"2022-11-16";1.59287573104207872E18
;"2022-11-16";1.59287491653337498E18
;"2022-11-16";1.59287453365635072E18
;"2022-11-16";1.59287399143350682E18
"20.25 Situasi arus lalu lintas Traffic Light Asia Afrika terpantau ramai lancar ";"2022-11-16";1.59287129518810317E18
;"2022-11-16";1.59287060730926285E18
;"2022-11-16";1.59286965841549722E18
;"2022-11-16";1.59286880476554854E18
"RT ";"2022-11-16";1.59286498768889446E18
"Besok dalam rangka kegiatan olahraga di Banten ,akan ada jalan yg di tutup ";"2022-11-16";1.59286479247340339E18
;"2022-11-16";1.59285868573871718E18
"19.24 Situasi arus lalu lintas di Simpang Lima Semper Jakut terpantau ramai lancar. ";"2022-11-16";1.59285625028254106E18
;"2022-11-16";1.59285538209097728E18
;"2022-11-16";1.59284717716834304E18
"RT ";"2022-11-16";1.592847093546496E18
;"2022-11-16";1.59284389475217818E18
"18.31 Situasi arus lalu lintas di Traffic light Tugu Tani Jakpus terpantau ramai lancar. ";"2022-11-16";1.59284293886609408E18
"RT ";"2022-11-16";1.59283854782408294E18
"Info terkini pukul 18:05 WIB Ruas tol PD.Aren-Serpong lalin lancar di kedua arah, cuaca cerah ";"2022-11-16";1.59283631624464384E18
;"2022-11-16";1.59283388372864614E18
;"2022-11-16";1.59282965684750746E18
"Satlantas Polres Metro Bekasi Kota Berikan Edukasi Berlalulintas ke Siswa TK Al-Istiqomah ";"2022-11-16";1.59282574548706099E18
;"2022-11-16";1.59282299148188877E18
"RT ";"2022-11-16";1.59282225224000307E18
"17.06 Situasi arus lalu lintas di Traffic light Pancoran Jaksel dari arah Pasar Minggu menuju arah Tebet terpantau ramai lancar, demikian juga arah sebaliknya ramai lancar. ";"2022-11-16";1.5928212770052055E18
"16.59 Live Report Pantauan arus lalu lintas di Traffic light Karet Bivak Tanah Abang Jakpus, situasi arus lalu lintas terpantau ramai lancar. ";"2022-11-16";1.59281951510414131E18
;"2022-11-16";1.59281651977567027E18
"16.36 Live Report Pantauan arus lalu lintas di Traffic light Cawang Interchange Jaktim, situasi arus lalu lintas terpantau ramai lancar. ";"2022-11-16";1.59281432480411648E18
;"2022-11-16";1.5928139576221737E18
;"2022-11-16";1.59281375884568166E18
"16.17 Situasi arus lalu lintas di Traffic light Pesing Jakbar terpantau ramai lancar. ";"2022-11-16";1.59280900999597261E18
;"2022-11-16";1.59280876781686374E18
;"2022-11-16";1.59280834393212928E18
"RT ";"2022-11-16";1.59280470847300813E18
"15.59 Kegiatan Penyampaian Pendapat di depan Menara Thamrin Jakpus, Situasi arus lalu linta ramai lancar. ";"2022-11-16";1.59280464097827226E18
"?";"2022-11-16";1.59280437372141978E18
"15.56 Situasi arus lalu lintas di Gerbang Tol Semanggi 1 terpantau ramai lancar. ";"2022-11-16";1.59280379109063475E18
;"2022-11-16";1.59280324727397171E18
"15.09 Situasi arus lalu lintas di Jl Perintis Kemerdekaan Pulo Gadung Jaktim terpantau ramai lancar. ";"2022-11-16";1.59279197353807872E18
;"2022-11-16";1.59277974571205018E18
"RT ";"2022-11-16";1.59277731777626522E18
"ahh masa? sepeda yang dikawal trus ditabrak sama mobil yg terobos lampu hijau gmn? ";"2022-11-16";1.5927769865814057E18
"14.00 Kegiatan Penyampaian Pendapat di depan Kantor DPP Nasde, Jl. RP Suroso Jakpus, Situasi arus lalu lintas menuju arah Jl. Cut Mutia terpantau ramai lancar. ";"2022-11-16";1.59277483088531866E18
"13.50 Kegiatan Penyampaian Pendapat di depan Kantor Baharkam Polri Jl. Trunojoyo Jaksel, Situasi arus lalu lintas terpantau ramai lancar. ";"2022-11-16";1.59277226297720832E18
"?";"2022-11-16";1.59277130543020032E18
"RT ";"2022-11-16";1.59277016341771059E18
"RT ";"2022-11-16";1.59276980517378458E18
"RT ";"2022-11-16";1.59276967949148979E18
;"2022-11-16";1.59276773047389798E18
"RT ";"2022-11-16";1.59276723045413683E18
;"2022-11-16";1.59276544615490765E18
;"2022-11-16";1.59276384705171866E18
"Maksudnya yg kaya dipake orang berkaos biru itu pak? ";"2022-11-16";1.59276332368229581E18
;"2022-11-16";1.59276225908823654E18
;"2022-11-16";1.5927621404271575E18
;"2022-11-16";1.5927605178774569E18
"12.45 Situasi arus lalu lintas di Ruas Tol Jagorawi KM 03+800 terpantau ramai lancar. ";"2022-11-16";1.59275559417946522E18
"RT ";"2022-11-16";1.59275301514839245E18
"12.28 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 03+800 (Pancoran arah Cawang) terpantau ramai lancar. ";"2022-11-16";1.5927518830596055E18
;"2022-11-16";1.5927490076629033E18
;"2022-11-16";1.59274714502700646E18
;"2022-11-16";1.59274585370568294E18
;"2022-11-16";1.5927449644670935E18
"11.53 Situasi arus lalu lintas di Jl. Jendral Sudirman (Dukuh Atas) Jakpus terpantau ramai lancar. ";"2022-11-16";1.59274357241951027E18
"11.53 Situasi arus lalu lintas di Jl. Jendral Sudirman (Dukuh Atas) Jakpus terpantau ramai lancar. ";"2022-11-16";1.59274288107241062E18
;"2022-11-16";1.59273349984878592E18
"RT ";"2022-11-16";1.59273129333870182E18
;"2022-11-16";1.59272944841504358E18
;"2022-11-16";1.59272934536131789E18
"RT ";"2022-11-16";1.5927291928267776E18
"Ada apa di simpang cikunir arah MBZ ";"2022-11-16";1.59272665701378048E18
"10.42 Situasi arus lalu lintas di Ruas Tol Jakarta-Tangerang KM 01+600 terpantau ramai lancar. ";"2022-11-16";1.59272477217327104E18
"RT ";"2022-11-16";1.5927233595778048E18
;"2022-11-16";1.59271978022976307E18
;"2022-11-16";1.59271699092951859E18
;"2022-11-16";1.59271547418981581E18
;"2022-11-16";1.59271535589789286E18
;"2022-11-16";1.59271479649933722E18
"09.28 Situasi arus lalu lintas di Traffic Light Pancoran Jaksel menuju arah Cawang maupun arah Kalibata terpantau ramai lancar. ";"2022-11-16";1.59271330456027546E18
;"2022-11-16";1.59271259440165683E18
"Dahulukan selalu KA, menerobos Perlintasan Kereta yg telah memberikan isyarat utk berhenti dpt berakibat kecelakaan. ";"2022-11-16";1.59271113594149274E18
;"2022-11-16";1.5927085280239616E18
"RT ";"2022-11-16";1.59270839155388826E18
"RT ";"2022-11-16";1.59270691237774541E18
"09.28 Situasi arus lalu lintas di Traffic Light Pancoran Jaksel menuju arah Cawang maupun arah Kalibata terpantau ramai lancar. ";"2022-11-16";1.59270633285524275E18
"RT ";"2022-11-16";1.59270589992757248E18
;"2022-11-16";1.59270533308837478E18
;"2022-11-16";1.59270476905934848E18
;"2022-11-16";1.5927044934977577E18
"Kalo terobos lampu hijau??? ";"2022-11-16";1.59270237695550669E18
"RT ";"2022-11-16";1.59270067689082061E18
;"2022-11-16";1.59269991601474355E18
"09.02 Situasi arus lalu lintas di Traffic Light Kodim Lama Jatinegara Jaktim menuju arah Buaran maupun arah Kampung Melayu terpantau ramai lancar. ";"2022-11-16";1.59269975962592461E18
"09.00 Situasi arus lalu lintas di Traffic Light Cempaka Putih Jakpus menuju arah Pulogadung maupun arah Sunter terpantau ramai lancar. ";"2022-11-16";1.59269920057973555E18
;"2022-11-16";1.59269892283675853E18
;"2022-11-16";1.59269879070396006E18
"RT ";"2022-11-16";1.59269852367359181E18
