"Created-At";"Text";"Id"
2022-11-18;"18 November 2022 Motor Geber Jam 1950
Portal Pesona Kalisari 
@TMCPoldaMetro
@DivHumas_Polri
@NTMCLantasPolri

 #MotorGeber #knalpotBising";"1593587609522970625"
2022-11-18;"18 November 2022 Motor Geber Jam 1942 1945
Portal Pesona Kalisari 
@TMCPoldaMetro
@DivHumas_Polri
@NTMCLantasPolri
 #MotorGeber #knalpotBising";"1593586366260006917"
2022-11-18;"Jl. Arteri pondok Indah dekat jl bungur banyak motor lawan arah. Mohon penertibam @TMCPoldaMetro https://t.co/KC9KH4xYit";"1593575460247859200"
2022-11-18;"RT @infotolbsd: Info terkini pukul 19:00 WIB Ruas toll PD.Aren -Serpong lalin lancar di kedua arah, cuaca gerimis @TMCPoldaMetro @RadioElsh…";"1593575455164346368"
2022-11-18;"Info terkini pukul 19:00 WIB Ruas toll PD.Aren -Serpong lalin lancar di kedua arah, cuaca gerimis @TMCPoldaMetro @RadioElshinta @NusantaraInfra https://t.co/jo9mqvzMY8";"1593574686180651008"
2022-11-18;"@gataudehgw @DivHumas_Polri @TMCPoldaMetro tindak pak";"1593573944107315200"
2022-11-18;"RT @peppenspd: @PTJASAMARGA mohon tutup rest area sedyatmo, biang macet. Khusus untuk karyawan saja jangan dibuka umum. @TMCPoldaMetro http…";"1593569660175192064"
2022-11-18;"RT @KemenPU: @flinus23 @jokowi @TMCPoldaMetro Baik, Sahabat. Mohon maaf atas ketidaknyamanannya. Kami sampaikan ke unit terkait ya. Sahabat…";"1593566368636764161"
2022-11-18;"RT @TMCPoldaMetro: 13.32 Telah terjadi kebakaran di Pertokoan Kolong Asemka RT.03 RW.06 Kelurahan Pinangsia Tamansari Jakarta Barat,saat in…";"1593560319791886336"
2022-11-18;"Arus Lalin depan TangCity mall Jl. Perintis Kemerdekaan Babakan terpantau ramai lancar.

Kanit Lantas Polsek Tangerang IPTU Heri Krisdianto, SH, melaksanakan pelayanan gatur lalin sore.

@NTMCLantasPolri 
@TMCPoldaMetro https://t.co/HrA6yJEa5D";"1593560007362379777"
2022-11-18;"RT @TMCPoldaMetro: 17.23 Situasi terkini sore hari wilayah Bandara Soekarno-Hatta setelah dilakukan evakuasi Truck yang mengalami kecelakaa…";"1593556062749458433"
2022-11-18;"17.23 Situasi terkini sore hari wilayah Bandara Soekarno-Hatta setelah dilakukan evakuasi Truck yang mengalami kecelakaan di Tol Sedyatmo KM 29 arah Jakarta https://t.co/ZNrMTih7go";"1593553943803875328"
2022-11-18;"@kidippiw @apiiiinnns @apiinnnns @TMCPoldaMetro @DivHumas_Polri Pake akun mana lagi dia? Atau ada yg punya wa dia Pengen silahturahmi";"1593553201688551424"
2022-11-18;"@TMCPoldaMetro memang harus dijagain baru lancar...nanti klo udah ga ada petugas,para pengendara melawan arah lagi,sudah pasti...pintu air dekat taman palm lestari cengkareng jakarta barat https://t.co/a0ushbeiGP";"1593552081520300032"
2022-11-18;"@Dennysiregar7 @MabesPolri ,@TMCPoldaMetro,@KAPOLRI, gimana kasus @Dennysiregar7 ini kok mandek atau jln ditempat apa pengaruhx melebihi @SAMBO.
sedang kasus sambo jln...";"1593551652883410944"
2022-11-18;"Arus Lalin depan Stadion Benteng Reborn Jl. TMP Taruna Sukaasih terpantau ramai lancar.

Panit Lantas Polsek Tangerang IPDA Yamin, SH, melaksanakan pelayanan gatur lalin sore.

@NTMCLantasPolri 
@TMCPoldaMetro https://t.co/BgLomTL1ME";"1593550719734337536"
2022-11-18;"@achmad_marendes @RadioElshinta @TMCPoldaMetro biang macet disini??";"1593549002641125377"
2022-11-18;"RT @RadioElshinta: 15.18: RT @TMCPoldaMetro: Polri Sat PJR Dit Lantas PMJ pengamanan & pengaturan Kecelakaan Lalu Lintas sebuah truk tergul…";"1593548791348490240"
2022-11-18;"17.00: RT @TMCPoldaMetro : Situasi lalu lintas di Traffic Light Mega Rabbani Jl. Raya Pemuda Rawamangun Pulogadung Jaktim terpantau ramai lancar. #PantauElshinta  https://t.co/46TZndeS14";"1593544697397379073"
2022-11-18;"16.49 Situasi lalu lintas di Bundaran HI Jakpus terpantau ramai lancar https://t.co/7XeP4XykNM";"1593544669887344640"
2022-11-18;"16.06 #LalinSONORA - Sekitar  pkl 14.54wib  Polri Sat PJR Dit Lantas PMJ pengamanan & pengaturan Kecelakaan Lalu Lintas sebuah truk terguling di Tol Sedyatmo KM 29 arah Jakarta, saat ini sedang proses penanganan Polri lalu lintas padat.
@TMCPoldaMetro https://t.co/bVPUi1RSX2";"1593543214405144578"
2022-11-18;"#Polisi #Jakarta #DKIJakarta @TMCPoldaMetro: '16.19 Situasi lalu lintas di Tol Janger Km 1 arah Tomang Lancar arah sebaliknya arah Kebun Jeruk terpantau padat @Donynugroho ' https://t.co/PWPhv2fO2Q, see more https://t.co/oJIVLJWxWl";"1593543172801511424"
2022-11-18;"16.42 Situasi lalu lintas di Traffic Light Mega Rabbani Jl. Raya Pemuda Rawamangun Pulogadung Jaktim terpantau ramai lancar https://t.co/v5rrJqDqz6";"1593541088471838722"
2022-11-18;"RT @achmad_marendes: Perbaikan halte cawang arah bekasi hanya ada 1 lajur, ada truk parkir. @RadioElshinta @TMCPoldaMetro https://t.co/rcfX…";"1593539238808940544"
2022-11-18;"Perbaikan halte cawang arah bekasi hanya ada 1 lajur, ada truk parkir. @RadioElshinta @TMCPoldaMetro https://t.co/rcfX86awyZ";"1593538405916610560"
2022-11-18;"16.33: RT @TMCPoldaMetro: Situasi lalu lintas di Jl. Daan Mogot Jakbar arah Tangerang terpantau ramai lancar. #PantauElshinta https://t.co/6f6m18VsMH";"1593537927946338304"
2022-11-18;"16.30 Situasi lalu lintas di Jl. Daan Mogot Jakbar arah Tangerang terpantau ramai lancar https://t.co/OYd95RZBpv";"1593537459245416450"
2022-11-18;"Min @TMCPoldaMetro dgn video ini mobil yg parkir di depan halte begini bisa kena tilang elektronik? https://t.co/2EHx6h4xVC";"1593536829315485698"
2022-11-18;"16.19 Situasi lalu lintas di Tol Janger Km 1 arah Tomang Lancar arah sebaliknya arah Kebun Jeruk terpantau padat @Donynugroho https://t.co/bNx3Ll0Bm9";"1593534330135261184"
2022-11-18;"?@RadioElshinta? ??@TMCPoldaMetro? ?@SonoraFM92? macet parah Janger km 1 arah Tomang sebaliknya arah bonjer padat https://t.co/o1GF7oCNue";"1593531395531362305"
